title,category,slug,soc_code,median_pay_annual,median_pay_hourly,entry_education,work_experience,training,num_jobs_2024,projected_employment_2034,outlook_pct,outlook_desc,employment_change,url
"Bookmakers, croupiers and related gaming workers",Uncategorized,bookmakers-croupiers-and-related-gaming-workers,4212,11996,5.77,High school diploma or equivalent,None,None,2425,10200,-4,As fast as average,200,http://data.europa.eu/esco/isco/C4212
Bricklayers and related workers,Uncategorized,bricklayers-and-related-workers,7112,15997,7.69,High school diploma or equivalent,None,None,3143,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C7112
Broadcasting and audiovisual technicians,Uncategorized,broadcasting-and-audiovisual-technicians,3521,20394,9.80,Associate's degree,None,None,2200,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3521
Building and related electricians,Uncategorized,building-and-related-electricians,7411,15603,7.50,High school diploma or equivalent,None,None,7200,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C7411
Building architects,Uncategorized,building-architects,2161,26303,12.65,Bachelor's degree,None,None,2066,10200,9,As fast as average,200,http://data.europa.eu/esco/isco/C2161
Building caretakers,Uncategorized,building-caretakers,5153,9699,4.66,High school diploma or equivalent,None,None,5641,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C5153
Building construction labourers,Uncategorized,building-construction-labourers,9313,8000,3.85,No formal educational credential,None,None,4111,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C9313
Building frame and related trades workers not elsewhere classified,Uncategorized,building-frame-and-related-trades-workers-not-elsewhere-classified,7119,12798,6.15,High school diploma or equivalent,None,None,3143,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C7119
Building structure cleaners,Uncategorized,building-structure-cleaners,7133,15326,7.37,High school diploma or equivalent,None,None,3143,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C7133
Bus and tram drivers,Uncategorized,bus-and-tram-drivers,8331,16456,7.91,High school diploma or equivalent,None,None,7936,10200,-1,As fast as average,200,http://data.europa.eu/esco/isco/C8331
Business services agents not elsewhere classified,Uncategorized,business-services-agents-not-elsewhere-classified,3339,20051,9.64,Associate's degree,None,None,3583,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C3339
Business services and administration managers not elsewhere classified,Uncategorized,business-services-and-administration-managers-not-elsewhere-classified,1219,28920,13.90,Bachelor's degree,None,None,2042,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C1219
"Butchers, fishmongers and related food preparers",Uncategorized,butchers-fishmongers-and-related-food-preparers,7511,15961,7.67,High school diploma or equivalent,None,None,1210,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C7511
Buyers,Uncategorized,buyers,3323,15466,7.44,Associate's degree,None,None,3583,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3323
Cabinet-makers and related workers,Uncategorized,cabinet-makers-and-related-workers,7522,14735,7.08,High school diploma or equivalent,None,None,1210,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C7522
"Car, taxi and van drivers",Uncategorized,car-taxi-and-van-drivers,8322,13174,6.33,High school diploma or equivalent,None,None,7936,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C8322
Carpenters and joiners,Uncategorized,carpenters-and-joiners,7115,17742,8.53,High school diploma or equivalent,None,None,3143,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C7115
Cartographers and surveyors,Uncategorized,cartographers-and-surveyors,2165,24018,11.55,Bachelor's degree,None,None,2066,10200,9,As fast as average,200,http://data.europa.eu/esco/isco/C2165
Cashiers and ticket clerks,Uncategorized,cashiers-and-ticket-clerks,5230,11343,5.45,High school diploma or equivalent,None,None,9884,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C5230
"Cement, stone and other mineral products machine operators",Uncategorized,cement-stone-and-other-mineral-products-machine-operators,8114,11151,5.36,High school diploma or equivalent,None,None,2157,10200,0,As fast as average,200,http://data.europa.eu/esco/isco/C8114
Chefs,Uncategorized,chefs,3434,19712,9.48,Associate's degree,None,None,1209,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3434
Chemical and physical science technicians,Uncategorized,chemical-and-physical-science-technicians,3111,16476,7.92,Associate's degree,None,None,2457,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C3111
Chemical engineering technicians,Uncategorized,chemical-engineering-technicians,3116,15363,7.39,Associate's degree,None,None,2457,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3116
Chemical engineers,Uncategorized,chemical-engineers,2145,22725,10.93,Bachelor's degree,None,None,2066,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C2145
Chemical processing plant controllers,Uncategorized,chemical-processing-plant-controllers,3133,20390,9.80,Associate's degree,None,None,2457,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C3133
Chemical products plant and machine operators,Uncategorized,chemical-products-plant-and-machine-operators,8131,11270,5.42,High school diploma or equivalent,None,None,2157,10200,0,As fast as average,200,http://data.europa.eu/esco/isco/C8131
Chemists,Uncategorized,chemists,2113,23656,11.37,Bachelor's degree,None,None,2066,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C2113
Child care services managers,Uncategorized,child-care-services-managers,1341,26837,12.90,Bachelor's degree,None,None,3257,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C1341
Child care workers,Uncategorized,child-care-workers,5311,8037,3.86,High school diploma or equivalent,None,None,5480,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C5311
Civil engineering labourers,Uncategorized,civil-engineering-labourers,9312,8561,4.12,No formal educational credential,None,None,4111,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C9312
Civil engineering technicians,Uncategorized,civil-engineering-technicians,3112,16858,8.10,Associate's degree,None,None,2457,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3112
Civil engineers,Uncategorized,civil-engineers,2142,23069,11.09,Bachelor's degree,None,None,2066,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2142
"Cleaners and helpers in offices, hotels and other establishments",Uncategorized,cleaners-and-helpers-in-offices-hotels-and-other-establishments,9112,8000,3.85,No formal educational credential,None,None,7883,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C9112
"Cleaning and housekeeping supervisors in offices, hotels and other establishments",Uncategorized,cleaning-and-housekeeping-supervisors-in-offices-hotels-and-other-establishments,5151,8000,3.85,High school diploma or equivalent,None,None,5641,10200,9,As fast as average,200,http://data.europa.eu/esco/isco/C5151
Clearing and forwarding agents,Uncategorized,clearing-and-forwarding-agents,3331,16696,8.03,Associate's degree,None,None,3583,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C3331
Clerical support workers not elsewhere classified,Uncategorized,clerical-support-workers-not-elsewhere-classified,4419,15434,7.42,High school diploma or equivalent,None,None,1242,10200,-4,As fast as average,200,http://data.europa.eu/esco/isco/C4419
Client information workers not elsewhere classified,Uncategorized,client-information-workers-not-elsewhere-classified,4229,15736,7.57,High school diploma or equivalent,None,None,2425,10200,-4,As fast as average,200,http://data.europa.eu/esco/isco/C4229
"Coding, proof-reading and related clerks",Uncategorized,coding-proof-reading-and-related-clerks,4413,15210,7.31,High school diploma or equivalent,None,None,1242,10200,-3,As fast as average,200,http://data.europa.eu/esco/isco/C4413
Commercial sales representatives,Uncategorized,commercial-sales-representatives,3322,15645,7.52,Associate's degree,None,None,3583,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3322
Commissioned armed forces officers,Uncategorized,commissioned-armed-forces-officers,0110,14381,6.91,High school diploma or equivalent,None,None,2900,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C0110
Community health workers,Uncategorized,community-health-workers,3253,21486,10.33,Associate's degree,None,None,2276,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C3253
Companions and valets,Uncategorized,companions-and-valets,5162,9288,4.47,High school diploma or equivalent,None,None,5641,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C5162
Computer network and systems technicians,Uncategorized,computer-network-and-systems-technicians,3513,19568,9.41,Associate's degree,None,None,2200,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C3513
Computer network professionals,Uncategorized,computer-network-professionals,2523,23192,11.15,Bachelor's degree,None,None,3533,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C2523
"Concrete placers, concrete finishers and related workers",Uncategorized,concrete-placers-concrete-finishers-and-related-workers,7114,16732,8.04,High school diploma or equivalent,None,None,3143,10200,0,As fast as average,200,http://data.europa.eu/esco/isco/C7114
Conference and event planners,Uncategorized,conference-and-event-planners,3332,17468,8.40,Associate's degree,None,None,3583,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3332
Construction managers,Uncategorized,construction-managers,1323,32311,15.53,Bachelor's degree,None,None,3257,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C1323
Construction supervisors,Uncategorized,construction-supervisors,3123,20095,9.66,Associate's degree,None,None,2457,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C3123
Contact centre information clerks,Uncategorized,contact-centre-information-clerks,4222,11128,5.35,High school diploma or equivalent,None,None,2425,10200,-4,As fast as average,200,http://data.europa.eu/esco/isco/C4222
Contact centre salespersons,Uncategorized,contact-centre-salespersons,5244,9745,4.69,High school diploma or equivalent,None,None,9884,10200,9,As fast as average,200,http://data.europa.eu/esco/isco/C5244
Cooks,Uncategorized,cooks,5120,13991,6.73,High school diploma or equivalent,None,None,5641,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C5120
Craft and related workers not elsewhere classified,Uncategorized,craft-and-related-workers-not-elsewhere-classified,7549,16689,8.02,High school diploma or equivalent,None,None,1210,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C7549
"Crane, hoist and related plant operators",Uncategorized,crane-hoist-and-related-plant-operators,8343,14611,7.02,High school diploma or equivalent,None,None,7936,10200,-1,As fast as average,200,http://data.europa.eu/esco/isco/C8343
Creative and performing artists not elsewhere classified,Uncategorized,creative-and-performing-artists-not-elsewhere-classified,2659,23787,11.44,Bachelor's degree,None,None,3476,10200,10,As fast as average,200,http://data.europa.eu/esco/isco/C2659
Credit and loans officers,Uncategorized,credit-and-loans-officers,3312,19361,9.31,Associate's degree,None,None,3583,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C3312
Crop farm labourers,Uncategorized,crop-farm-labourers,9211,12375,5.95,No formal educational credential,None,None,3533,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C9211
Customs and border inspectors,Uncategorized,customs-and-border-inspectors,3351,20184,9.70,Associate's degree,None,None,3583,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C3351
Dairy-products makers,Uncategorized,dairy-products-makers,7513,15551,7.48,High school diploma or equivalent,None,None,1210,10200,0,As fast as average,200,http://data.europa.eu/esco/isco/C7513
Dancers and choreographers,Uncategorized,dancers-and-choreographers,2653,21657,10.41,Bachelor's degree,None,None,3476,10200,11,As fast as average,200,http://data.europa.eu/esco/isco/C2653
Data entry clerks,Uncategorized,data-entry-clerks,4132,15467,7.44,High school diploma or equivalent,None,None,9650,10200,-4,As fast as average,200,http://data.europa.eu/esco/isco/C4132
Database and network professionals not elsewhere classified,Uncategorized,database-and-network-professionals-not-elsewhere-classified,2529,27749,13.34,Bachelor's degree,None,None,3533,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2529
Database designers and administrators,Uncategorized,database-designers-and-administrators,2521,28373,13.64,Bachelor's degree,None,None,3533,10200,11,As fast as average,200,http://data.europa.eu/esco/isco/C2521
Debt-collectors and related workers,Uncategorized,debt-collectors-and-related-workers,4214,14534,6.99,High school diploma or equivalent,None,None,2425,10200,-7,As fast as average,200,http://data.europa.eu/esco/isco/C4214
Deep-sea fishery workers,Uncategorized,deep-sea-fishery-workers,6223,11880,5.71,No formal educational credential,None,None,580,10200,-3,As fast as average,200,http://data.europa.eu/esco/isco/C6223
Dental assistants and therapists,Uncategorized,dental-assistants-and-therapists,3251,17051,8.20,Associate's degree,None,None,2276,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C3251
Dentists,Uncategorized,dentists,2261,21873,10.52,Bachelor's degree,None,None,2386,10200,9,As fast as average,200,http://data.europa.eu/esco/isco/C2261
Dieticians and nutritionists,Uncategorized,dieticians-and-nutritionists,2265,27342,13.15,Bachelor's degree,None,None,2386,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C2265
Dispensing opticians,Uncategorized,dispensing-opticians,3254,21746,10.45,Associate's degree,None,None,2276,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3254
Domestic cleaners and helpers,Uncategorized,domestic-cleaners-and-helpers,9111,8000,3.85,No formal educational credential,None,None,7883,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C9111
Domestic housekeepers,Uncategorized,domestic-housekeepers,5152,14337,6.89,High school diploma or equivalent,None,None,5641,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C5152
Door to door salespersons,Uncategorized,door-to-door-salespersons,5243,9848,4.73,High school diploma or equivalent,None,None,9884,10200,9,As fast as average,200,http://data.europa.eu/esco/isco/C5243
Draughtspersons,Uncategorized,draughtspersons,3118,21115,10.15,Associate's degree,None,None,2457,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C3118
Drivers of animal-drawn vehicles and machinery,Uncategorized,drivers-of-animal-drawn-vehicles-and-machinery,9332,8000,3.85,No formal educational credential,None,None,4111,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C9332
Driving instructors,Uncategorized,driving-instructors,5165,8000,3.85,High school diploma or equivalent,None,None,5641,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C5165
Early childhood educators,Uncategorized,early-childhood-educators,2342,28435,13.67,Bachelor's degree,None,None,7800,10200,10,As fast as average,200,http://data.europa.eu/esco/isco/C2342
Earthmoving and related plant operators,Uncategorized,earthmoving-and-related-plant-operators,8342,15740,7.57,High school diploma or equivalent,None,None,7936,10200,1,As fast as average,200,http://data.europa.eu/esco/isco/C8342
Economists,Uncategorized,economists,2631,22781,10.95,Bachelor's degree,None,None,3476,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C2631
Education managers,Uncategorized,education-managers,1345,29154,14.02,Bachelor's degree,None,None,3257,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C1345
Education methods specialists,Uncategorized,education-methods-specialists,2351,21759,10.46,Bachelor's degree,None,None,7800,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C2351
Electrical and electronic equipment assemblers,Uncategorized,electrical-and-electronic-equipment-assemblers,8212,12085,5.81,High school diploma or equivalent,None,None,3100,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C8212
Electrical engineering technicians,Uncategorized,electrical-engineering-technicians,3113,16720,8.04,Associate's degree,None,None,2457,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3113
Electrical engineers,Uncategorized,electrical-engineers,2151,25132,12.08,Bachelor's degree,None,None,2066,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C2151
Electrical line installers and repairers,Uncategorized,electrical-line-installers-and-repairers,7413,16381,7.88,High school diploma or equivalent,None,None,7200,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C7413
Electrical mechanics and fitters,Uncategorized,electrical-mechanics-and-fitters,7412,16328,7.85,High school diploma or equivalent,None,None,7200,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C7412
Electronics engineering technicians,Uncategorized,electronics-engineering-technicians,3114,16076,7.73,Associate's degree,None,None,2457,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C3114
Electronics engineers,Uncategorized,electronics-engineers,2152,24090,11.58,Bachelor's degree,None,None,2066,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C2152
Electronics mechanics and servicers,Uncategorized,electronics-mechanics-and-servicers,7421,11500,5.53,High school diploma or equivalent,None,None,7200,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C7421
Elementary workers not elsewhere classified,Uncategorized,elementary-workers-not-elsewhere-classified,9629,8000,3.85,No formal educational credential,None,None,1862,10200,5,As fast as average,200,http://data.europa.eu/esco/isco/C9629
Employment agents and contractors,Uncategorized,employment-agents-and-contractors,3333,18535,8.91,Associate's degree,None,None,3583,10200,2,As fast as average,200,http://data.europa.eu/esco/isco/C3333
Engineering professionals not elsewhere classified,Uncategorized,engineering-professionals-not-elsewhere-classified,2149,23913,11.50,Bachelor's degree,None,None,2066,10200,11,As fast as average,200,http://data.europa.eu/esco/isco/C2149
Enquiry clerks,Uncategorized,enquiry-clerks,4225,17040,8.19,High school diploma or equivalent,None,None,2425,10200,-3,As fast as average,200,http://data.europa.eu/esco/isco/C4225
Environmental and occupational health and hygiene professionals,Uncategorized,environmental-and-occupational-health-and-hygiene-professionals,2263,28262,13.59,Bachelor's degree,None,None,2386,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C2263
Environmental and occupational health inspectors and associates,Uncategorized,environmental-and-occupational-health-inspectors-and-associates,3257,19101,9.18,Associate's degree,None,None,2276,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C3257
Environmental engineers,Uncategorized,environmental-engineers,2143,23868,11.47,Bachelor's degree,None,None,2066,10200,11,As fast as average,200,http://data.europa.eu/esco/isco/C2143
Environmental protection professionals,Uncategorized,environmental-protection-professionals,2133,22935,11.03,Bachelor's degree,None,None,2066,10200,10,As fast as average,200,http://data.europa.eu/esco/isco/C2133
"Farming, forestry and fisheries advisers",Uncategorized,farming-forestry-and-fisheries-advisers,2132,20950,10.07,Bachelor's degree,None,None,2066,10200,9,As fast as average,200,http://data.europa.eu/esco/isco/C2132
Fashion and other models,Uncategorized,fashion-and-other-models,5241,9663,4.65,High school diploma or equivalent,None,None,9884,10200,8,As fast as average,200,http://data.europa.eu/esco/isco/C5241
Fast food preparers,Uncategorized,fast-food-preparers,9411,8000,3.85,No formal educational credential,None,None,1100,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C9411
"Fibre preparing, spinning and winding machine operators",Uncategorized,fibre-preparing-spinning-and-winding-machine-operators,8151,17337,8.34,High school diploma or equivalent,None,None,2157,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C8151
Field crop and vegetable growers,Uncategorized,field-crop-and-vegetable-growers,6111,10086,4.85,No formal educational credential,None,None,3766,10200,-1,As fast as average,200,http://data.europa.eu/esco/isco/C6111
Filing and copying clerks,Uncategorized,filing-and-copying-clerks,4415,10229,4.92,High school diploma or equivalent,None,None,1242,10200,-3,As fast as average,200,http://data.europa.eu/esco/isco/C4415
"Film, stage and related directors and producers",Uncategorized,film-stage-and-related-directors-and-producers,2654,26719,12.85,Bachelor's degree,None,None,3476,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2654
Finance managers,Uncategorized,finance-managers,1211,29171,14.02,Bachelor's degree,None,None,2042,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C1211
Financial analysts,Uncategorized,financial-analysts,2413,25118,12.08,Bachelor's degree,None,None,4000,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C2413
Financial and insurance services branch managers,Uncategorized,financial-and-insurance-services-branch-managers,1346,27521,13.23,Bachelor's degree,None,None,3257,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C1346
Financial and investment advisers,Uncategorized,financial-and-investment-advisers,2412,27990,13.46,Bachelor's degree,None,None,4000,10200,9,As fast as average,200,http://data.europa.eu/esco/isco/C2412
Fire-fighters,Uncategorized,fire-fighters,5411,9741,4.68,High school diploma or equivalent,None,None,8160,10200,7,As fast as average,200,http://data.europa.eu/esco/isco/C5411
Fishery and aquaculture labourers,Uncategorized,fishery-and-aquaculture-labourers,9216,8000,3.85,No formal educational credential,None,None,3533,10200,4,As fast as average,200,http://data.europa.eu/esco/isco/C9216
Fitness and recreation instructors and program leaders,Uncategorized,fitness-and-recreation-instructors-and-program-leaders,3423,17599,8.46,Associate's degree,None,None,1209,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C3423
Floor layers and tile setters,Uncategorized,floor-layers-and-tile-setters,7122,13619,6.55,High school diploma or equivalent,None,None,3143,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C7122
Food and beverage tasters and graders,Uncategorized,food-and-beverage-tasters-and-graders,7515,16312,7.84,High school diploma or equivalent,None,None,1210,10200,3,As fast as average,200,http://data.europa.eu/esco/isco/C7515
Food and related products machine operators,Uncategorized,food-and-related-products-machine-operators,8160,16509,7.94,High school diploma or equivalent,None,None,2157,10200,0,As fast as average,200,http://data.europa.eu/esco/isco/C8160
Food service counter attendants,Uncategorized,food-service-counter-attendants,5246,15136,7.28,High school diploma or equivalent,None,None,9884,10200,6,As fast as average,200,http://data.europa.eu/esco/isco/C5246
